Metro,Dimension Type,Month,Dimension,Measure,Value,YoY,mnth,yr
Atlanta,Job Title,2017-06,Human Resources Manager,Median Base Pay,74665.0,0.006999999999999999,6,2017
Atlanta,Job Title,2017-06,Technician,Median Base Pay,44714.0,0.018000000000000002,6,2017
Atlanta,Job Title,2017-06,Restaurant Cook,Median Base Pay,27130.0,0.063,6,2017
Atlanta,Job Title,2017-06,Production Manager,Median Base Pay,66906.0,0.013999999999999999,6,2017
Atlanta,Job Title,2017-06,Manufacturing Engineer,Median Base Pay,73756.0,0.027999999999999997,6,2017
Atlanta,Job Title,2017-06,Retail Key Holder,Median Base Pay,29645.0,-0.009000000000000001,6,2017
Atlanta,Job Title,2017-06,Paralegal,Median Base Pay,52899.0,0.009000000000000001,6,2017
Atlanta,Job Title,2017-06,Java Developer,Median Base Pay,74013.0,-0.017,6,2017
Atlanta,Job Title,2017-06,Warehouse Associate,Median Base Pay,39846.0,0.04,6,2017
Atlanta,Job Title,2017-06,Property Manager,Median Base Pay,55017.0,0.001,6,2017
Atlanta,Job Title,2017-06,Producer,Median Base Pay,61352.0,0.01,6,2017
Atlanta,Job Title,2017-06,Quality Engineer,Median Base Pay,69637.0,0.019,6,2017
Atlanta,Job Title,2017-06,Operations Analyst,Median Base Pay,55055.0,-0.033,6,2017
Atlanta,Job Title,2017-06,Medical Assistant,Median Base Pay,33801.0,0.008,6,2017
Atlanta,Job Title,2017-06,Tax Manager,Median Base Pay,95750.0,-0.02,6,2017
Atlanta,Job Title,2017-06,Technical Editor,Median Base Pay,54432.0,0.009000000000000001,6,2017
Atlanta,Job Title,2017-06,Truck Driver,Median Base Pay,47542.0,0.013999999999999999,6,2017
Atlanta,Job Title,2017-06,Insurance Agent,Median Base Pay,39340.0,0.013000000000000001,6,2017
Atlanta,Job Title,2017-06,Medical Technologist,Median Base Pay,56108.0,0.031,6,2017
Atlanta,Job Title,2017-06,Field Engineer,Median Base Pay,67155.0,0.0,6,2017
Atlanta,Job Title,2017-06,Machine Operator,Median Base Pay,36979.0,0.001,6,2017
Atlanta,Job Title,2017-06,Communications Manager,Median Base Pay,71950.0,-0.016,6,2017
