Metro,Dimension Type,Month,Dimension,Measure,Value,YoY
Washington DC,Industry,2017-06,Consumer Services,Median Base Pay,51547.0,
Washington DC,Industry,2017-06,Education & Schools,Median Base Pay,52671.0,
Washington DC,Industry,2017-06,Energy & Utilities,Median Base Pay,64116.0,
Washington DC,Industry,2017-06,Facilities,Median Base Pay,52609.0,
Washington DC,Industry,2017-06,Farming & Agriculture,Median Base Pay,56591.0,
Washington DC,Industry,2017-06,Government,Median Base Pay,57491.0,
Washington DC,Industry,2017-06,Health Care & Hospitals,Median Base Pay,56214.0,
Washington DC,Industry,2017-06,Information Technology,Median Base Pay,57191.0,
Washington DC,Industry,2017-06,Insurance,Median Base Pay,57370.0,
Washington DC,Industry,2017-06,Internet & Tech,Median Base Pay,58302.0,
Washington DC,Industry,2017-06,Manufacturing,Median Base Pay,59069.0,
Washington DC,Industry,2017-06,Marketing & Advertising,Median Base Pay,54494.0,
Washington DC,Industry,2017-06,Media & Publishing,Median Base Pay,55347.0,
Washington DC,Industry,2017-06,Nonprofit,Median Base Pay,52067.0,
Washington DC,Industry,2017-06,Private Security,Median Base Pay,51943.0,
Washington DC,Industry,2017-06,Real Estate,Median Base Pay,55263.0,
Washington DC,Industry,2017-06,Recruiting & Staffing,Median Base Pay,54500.0,
Washington DC,Industry,2017-06,Restaurants & Bars,Median Base Pay,53033.0,
Washington DC,Industry,2017-06,Retail,Median Base Pay,52256.0,
Washington DC,Industry,2017-06,Supermarkets,Median Base Pay,54202.0,
Washington DC,Industry,2017-06,Telecommunications,Median Base Pay,56283.0,
Washington DC,Industry,2017-06,Transportation & Logistics,Median Base Pay,55802.0,
Washington DC,Industry,2017-06,Travel & Tourism,Median Base Pay,53213.0,
Washington DC,Industry,2017-06,Wholesale,Median Base Pay,56309.0,
Philadelphia,Industry,2017-06,Accounting & Legal,Median Base Pay,55023.0,
Philadelphia,Industry,2017-06,Aerospace & Defense,Median Base Pay,57084.0,
Philadelphia,Industry,2017-06,Architecture & Civil Engineering,Median Base Pay,55460.0,
Philadelphia,Industry,2017-06,Arts & Entertainment,Median Base Pay,49102.0,
Philadelphia,Industry,2017-06,Automotive,Median Base Pay,49337.0,
Philadelphia,Industry,2017-06,Banking & Financial Services,Median Base Pay,53751.0,
Philadelphia,Industry,2017-06,Beauty & Fitness,Median Base Pay,47998.0,
Philadelphia,Industry,2017-06,Biotech & Pharmaceuticals,Median Base Pay,57580.0,
Philadelphia,Industry,2017-06,Business Services,Median Base Pay,51947.0,
Philadelphia,Industry,2017-06,Computer Software & Hardware,Median Base Pay,55560.0,
Philadelphia,Industry,2017-06,Construction,Median Base Pay,55054.0,
Philadelphia,Industry,2017-06,Consulting,Median Base Pay,54570.0,
Philadelphia,Industry,2017-06,Consumer Electronics,Median Base Pay,46398.0,
Philadelphia,Industry,2017-06,Consumer Services,Median Base Pay,48199.0,
Philadelphia,Industry,2017-06,Education & Schools,Median Base Pay,49250.0,
Philadelphia,Industry,2017-06,Energy & Utilities,Median Base Pay,59952.0,
Philadelphia,Industry,2017-06,Facilities,Median Base Pay,49192.0,
Philadelphia,Industry,2017-06,Farming & Agriculture,Median Base Pay,52915.0,
